ITEM,ANO,MES,FECHA DE LA ACTIVIDAD,TITULO DE LA ACTIVIDAD,DEFINICION DE LA ACTIVIDAD,HORA DE LA ACTIVIDAD,LUGAR DE LA ACTIVIDAD  (PARQUE),DIRECCION DEL PARQUE
25,2024,ENERO,23/01/2024,REVISTA DIGITAL,dirigido a jóvenes de 10 años a mas que estén interesados en la investigación y la narración de historias de forma escrita,4:00 A 5:00 PM,CLUB METROPOLITANO MANCO CÁPAC,Altura del Km. 18 de Av. Túpac Amaru en el distrito de Carabayllo
26,2024,ENERO,23/01/2024,ACTIVACION DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO MIGUEL BAQUERO,Cruce de Jr. Coronel Miguel Baquero y Jr. Pacasmayo
27,2024,ENERO,24/01/2024,SESIÓN DE CANTO,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
28,2024,ENERO,24/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
29,2024,ENERO,25/01/2024,FOTOGRAFÍA AL AIRE LIBRE,dirigido a jóvenes dentro 13 años a más.,4:00 A 5:00 PM,CLUB METROPOLITANO MANCO CÁPAC,Altura del Km. 18 de Av. Túpac Amaru en el distrito de Carabayllo
30,2024,ENERO,25/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO MIGUEL BAQUERO,"Cruce de Jr. Coronel Miguel Baquero y Jr. Pacasmayo
31,2024,ENERO,26/01/2024,SENSIBILIZACIÓN DE CUIDADO Y ESTÉTICA PERSONAL,DIRIGIDO AL PÚBLICO EN GENERAL,10:00 A 12:00 M,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
32,2024,ENERO,26/01/2024,SESIÓN DE CANTO,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
33,2024,ENERO,27/01/2024,TEATRO PARA TODOS,diseñado para jóvenes de 12 a 20 años con diferentes niveles de experiencia,4:00 A 5:00 PM,CLUB METROPOLITANO MANCO CÁPAC,Altura del Km. 18 de Av. Túpac Amaru en el distrito de Carabayllo
34,2024,ENERO,28/01/2024,CAPAÑA DE DIBUJO Y PINTURA,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,"Cdra. 1 de la Av. Argentina
35,2024,ENERO,28/01/2024,RECITAL,DIRIGIDO AL PÚBLICO EN GENERAL,2:00 A 4:00 PM,CLUB METROPOLITANO CAHUIDE,Av. Los Parques 251 - Fundo Valdiviezo
36,2024,ENERO,28/01/2024,Ensayo de Marinera,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 a 6:00 pm,PARQUE METROPOLITANO LA MURALLA,Cruce de Jr. Amazonas y Av. Abancay
37,2024,ENERO,29/01/2024,SENSIBILIZACIÓN DE CUIDADO Y ESTÉTICA PERSONAL,DIRIGIDO AL PÚBLICO EN GENERAL,10:00 A 12:00 M,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
38,2024,ENERO,29/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
